Serial Number		Name		Value
A-000-000-627		Item_627		100.0
A-000-000-628		Item_628		100.0
A-000-000-629		Item_629		100.0
A-000-000-630		Item_630		100.0
A-000-000-631		Item_631		100.0
A-000-000-632		Item_632		100.0
A-000-000-633		Item_633		100.0
A-000-000-634		Item_634		100.0
A-000-000-635		Item_635		100.0
A-000-000-636		Item_636		100.0
A-000-000-637		Item_637		100.0
A-000-000-638		Item_638		100.0
A-000-000-639		Item_639		100.0
A-000-000-640		Item_640		100.0
A-000-000-641		Item_641		100.0
A-000-000-642		Item_642		100.0
A-000-000-643		Item_643		100.0
A-000-000-644		Item_644		100.0
A-000-000-645		Item_645		100.0
A-000-000-646		Item_646		100.0
A-000-000-647		Item_647		100.0
A-000-000-648		Item_648		100.0
A-000-000-649		Item_649		100.0
A-000-000-650		Item_650		100.0
A-000-000-651		Item_651		100.0
A-000-000-652		Item_652		100.0
A-000-000-653		Item_653		100.0
A-000-000-654		Item_654		100.0
A-000-000-655		Item_655		100.0
A-000-000-656		Item_656		100.0
A-000-000-657		Item_657		100.0
A-000-000-658		Item_658		100.0
A-000-000-659		Item_659		100.0
A-000-000-660		Item_660		100.0
A-000-000-661		Item_661		100.0
A-000-000-662		Item_662		100.0
A-000-000-663		Item_663		100.0
A-000-000-664		Item_664		100.0
A-000-000-665		Item_665		100.0
A-000-000-666		Item_666		100.0
A-000-000-667		Item_667		100.0
A-000-000-668		Item_668		100.0
A-000-000-669		Item_669		100.0
A-000-000-670		Item_670		100.0
A-000-000-671		Item_671		100.0
A-000-000-672		Item_672		100.0
A-000-000-673		Item_673		100.0
A-000-000-674		Item_674		100.0
A-000-000-675		Item_675		100.0
A-000-000-676		Item_676		100.0
A-000-000-677		Item_677		100.0
A-000-000-678		Item_678		100.0
A-000-000-679		Item_679		100.0
A-000-000-680		Item_680		100.0
A-000-000-681		Item_681		100.0
A-000-000-682		Item_682		100.0
A-000-000-683		Item_683		100.0
A-000-000-684		Item_684		100.0
A-000-000-685		Item_685		100.0
A-000-000-686		Item_686		100.0
A-000-000-687		Item_687		100.0
A-000-000-688		Item_688		100.0
A-000-000-689		Item_689		100.0
A-000-000-690		Item_690		100.0
A-000-000-691		Item_691		100.0
A-000-000-692		Item_692		100.0
A-000-000-693		Item_693		100.0
A-000-000-694		Item_694		100.0
A-000-000-695		Item_695		100.0
A-000-000-696		Item_696		100.0
A-000-000-697		Item_697		100.0
A-000-000-698		Item_698		100.0
A-000-000-699		Item_699		100.0
A-000-000-700		Item_700		100.0
A-000-000-701		Item_701		100.0
A-000-000-702		Item_702		100.0
A-000-000-703		Item_703		100.0
A-000-000-704		Item_704		100.0
A-000-000-705		Item_705		100.0
A-000-000-706		Item_706		100.0
A-000-000-707		Item_707		100.0
A-000-000-708		Item_708		100.0
A-000-000-709		Item_709		100.0
A-000-000-710		Item_710		100.0
A-000-000-711		Item_711		100.0
A-000-000-712		Item_712		100.0
A-000-000-713		Item_713		100.0
A-000-000-714		Item_714		100.0
A-000-000-715		Item_715		100.0
A-000-000-716		Item_716		100.0
A-000-000-717		Item_717		100.0
A-000-000-718		Item_718		100.0
A-000-000-719		Item_719		100.0
A-000-000-720		Item_720		100.0
A-000-000-721		Item_721		100.0
A-000-000-722		Item_722		100.0
A-000-000-723		Item_723		100.0
A-000-000-724		Item_724		100.0
A-000-000-725		Item_725		100.0
A-000-000-726		Item_726		100.0
A-000-000-727		Item_727		100.0
A-000-000-728		Item_728		100.0
A-000-000-729		Item_729		100.0
A-000-000-730		Item_730		100.0
A-000-000-731		Item_731		100.0
A-000-000-732		Item_732		100.0
A-000-000-733		Item_733		100.0
A-000-000-734		Item_734		100.0
A-000-000-735		Item_735		100.0
A-000-000-736		Item_736		100.0
A-000-000-737		Item_737		100.0
A-000-000-738		Item_738		100.0
A-000-000-739		Item_739		100.0
A-000-000-740		Item_740		100.0
A-000-000-741		Item_741		100.0
A-000-000-742		Item_742		100.0
A-000-000-743		Item_743		100.0
A-000-000-744		Item_744		100.0
A-000-000-745		Item_745		100.0
A-000-000-746		Item_746		100.0
A-000-000-747		Item_747		100.0
A-000-000-748		Item_748		100.0
A-000-000-749		Item_749		100.0
A-000-000-750		Item_750		100.0
A-000-000-751		Item_751		100.0
A-000-000-752		Item_752		100.0
A-000-000-753		Item_753		100.0
A-000-000-754		Item_754		100.0
A-000-000-755		Item_755		100.0
A-000-000-756		Item_756		100.0
A-000-000-757		Item_757		100.0
A-000-000-758		Item_758		100.0
A-000-000-759		Item_759		100.0
A-000-000-760		Item_760		100.0
A-000-000-761		Item_761		100.0
A-000-000-762		Item_762		100.0
A-000-000-763		Item_763		100.0
A-000-000-764		Item_764		100.0
A-000-000-765		Item_765		100.0
A-000-000-766		Item_766		100.0
A-000-000-767		Item_767		100.0
A-000-000-768		Item_768		100.0
A-000-000-769		Item_769		100.0
A-000-000-770		Item_770		100.0
A-000-000-771		Item_771		100.0
A-000-000-772		Item_772		100.0
A-000-000-773		Item_773		100.0
A-000-000-774		Item_774		100.0
A-000-000-775		Item_775		100.0
A-000-000-776		Item_776		100.0
A-000-000-777		Item_777		100.0
A-000-000-778		Item_778		100.0
A-000-000-779		Item_779		100.0
A-000-000-780		Item_780		100.0
A-000-000-781		Item_781		100.0
A-000-000-782		Item_782		100.0
A-000-000-783		Item_783		100.0
A-000-000-784		Item_784		100.0
A-000-000-785		Item_785		100.0
A-000-000-786		Item_786		100.0
A-000-000-787		Item_787		100.0
A-000-000-788		Item_788		100.0
A-000-000-789		Item_789		100.0
A-000-000-790		Item_790		100.0
A-000-000-791		Item_791		100.0
A-000-000-792		Item_792		100.0
A-000-000-793		Item_793		100.0
A-000-000-794		Item_794		100.0
A-000-000-795		Item_795		100.0
A-000-000-796		Item_796		100.0
A-000-000-797		Item_797		100.0
A-000-000-798		Item_798		100.0
A-000-000-799		Item_799		100.0
A-000-000-800		Item_800		100.0
A-000-000-801		Item_801		100.0
A-000-000-802		Item_802		100.0
A-000-000-803		Item_803		100.0
A-000-000-804		Item_804		100.0
A-000-000-805		Item_805		100.0
A-000-000-806		Item_806		100.0
A-000-000-807		Item_807		100.0
A-000-000-808		Item_808		100.0
A-000-000-809		Item_809		100.0
A-000-000-810		Item_810		100.0
A-000-000-811		Item_811		100.0
A-000-000-812		Item_812		100.0
A-000-000-813		Item_813		100.0
A-000-000-814		Item_814		100.0
A-000-000-815		Item_815		100.0
A-000-000-816		Item_816		100.0
A-000-000-817		Item_817		100.0
A-000-000-818		Item_818		100.0
A-000-000-819		Item_819		100.0
A-000-000-820		Item_820		100.0
A-000-000-821		Item_821		100.0
